Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
2208861,"-3,380000114","76,41999817","-18,75",-260,-2,63,"-0,02","-0,029999999","0,01","-0,01","-0,02","0,02",0
2208904,"-2,890000105","76,33999634","-18,21999931",-259,-4,62,"-0,01","-0,029999999","0,039999999","-0,02","-0,02","0,02",0
2208954,"-3,029999971","76,37000275","-18,30999947",-260,-5,62,"-0,02","0,01","-0,01","-0,02","-0,01","0,02",0
2209002,"-3,359999895","76,38999939","-18,59000015",-263,-5,64,"-0,02","0,01","-0,02","-0,01","-0,01","0,02",0
2209053,"-3,670000076","76,26000214","-18,85000038",-260,-4,63,"-0,02","-0,050000001","-0,02","-0,01","-0,039999999","0,01",0
2209104,"-3,589999914","76,22000122","-18,70999908",-257,-4,62,"-0,02","-0,01","0,01","-0,01","-0,02","0,02",0
2209153,"-3,369999886","76,23000336","-18,44000053",-258,-4,63,"-0,02",0,"0,02","-0,01","-0,02","0,029999999",0
2209204,"-3,49000001","76,19999695","-18,42000008",-258,-3,64,"-0,050000001","-0,01",0,"-0,039999999","-0,01","0,01",0
2209289,"-3,440000057","76,18000031","-18,19000053",-261,-5,63,"-0,059999999","-0,01","0,02","-0,059999999",0,"0,01",0
2209306,"-3,579999924","76,19000244","-18,29999924",-258,-3,64,"-0,01",0,"-0,01",0,"-0,02","0,029999999",0
2209355,"-3,450000048","76,16999817","-18,17000008",-259,-3,64,0,"-0,01","0,02","-0,01",0,"0,01",0
2209403,"-3,390000105","76,23999786","-18,03000069",-259,-5,63,"-0,029999999","0,02","0,01","-0,029999999","0,029999999","0,01",0
2209455,"-3,910000086","76,33000183","-18,44000053",-260,-4,65,"-0,039999999","0,029999999","-0,029999999","-0,039999999","0,029999999",0,0
2209504,"-4,059999943","76,26999664","-18,56999969",-260,-4,62,"-0,01","-0,02","-0,01","-0,01","0,02","-0,01",0
2209555,"-4,03000021","76,37999725","-18,5",-260,-5,63,"-0,01","0,039999999","0,01","-0,01","0,01","0,01",0
2209606,"-4,230000019","76,41000366","-18,63999939",-259,-4,63,"-0,02","0,01","-0,01","-0,02","0,01","0,01",0
2209654,"-4,139999866","76,41000366","-18,54000092",-242,-2,63,0,0,"0,01","-0,01","0,01","0,01",0
2209704,"-3,549999952","76,25","-17,96999931",-262,-4,60,"0,01","-0,059999999","0,039999999",0,"0,029999999","0,01",0
2209755,"-3,609999895","76,51000214","-17,92000008",-260,0,69,"-0,029999999","0,090000004","0,01","-0,039999999","0,01","0,02",0
2209805,"-2,299999952","76,18000031","-16,47999954",-262,1,63,"-0,029999999","-0,119999997","0,109999999","-0,059999999","0,01","0,050000001",0
2209866,"-1,370000005","76,29000092","-15,31000042",-260,-1,64,"-0,07","0,029999999","0,090000004","-0,100000001","0,01","0,039999999",0
2209905,"-1,639999986","76,33999634","-15,35000038",-257,-1,63,"-0,07","0,01",0,"-0,07","0,029999999",0,0
2209955,"-1,360000014","76,36000061","-15,18000031",-258,-4,63,"0,050000001","0,01","0,02","0,039999999","0,02","0,01",0
2210007,"-1,720000029","76,40000153","-15,78999996",-259,-1,64,"0,079999998","0,02","-0,050000001","0,090000004","0,02","0,01",0
2210059,"-1,320000052","76,40000153","-15,71000004",-262,2,63,"0,109999999",0,"0,01","0,100000001","0,029999999",0,0
2210152,"-0,699999988","76,52999878","-15,30000019",-263,0,62,"0,079999998","0,039999999","0,029999999","0,059999999","0,039999999","-0,029999999",0
"2210,18","-1,220000029","76,75","-16,32999992",-261,-3,63,"0,090000004","0,039999999","-0,039999999","0,079999998","0,02","-0,050000001",0
2210207,"-1,789999962","76,75","-17,03000069",-259,-3,59,"0,07",0,"-0,100000001","0,090000004","0,029999999","-0,059999999",0
2210265,"-1,980000019","76,87000275","-17,42000008",-264,-5,58,"0,109999999","0,079999998","-0,050000001","0,129999995","0,039999999","-0,02",0
2210311,"-4,349999905","77,31999969","-19,90999985",-263,-11,57,"0,02","0,150000006","-0,159999996","0,050000001","0,079999998","-0,100000001",0
2210385,"-7,940000057","77,56999969","-23,54000092",-258,-13,53,"-0,02","0,129999995","-0,289999992","0,029999999","0,090000004","-0,159999996",0
2210413,"-12,65999985","78,08999634","-28,70999908",-255,-10,55,"0,079999998","0,170000002","-0,230000004","0,150000006","0,100000001","-0,129999995",0
